K001;pește macrou congelat;Ocean Fish;1;kg;pește;2025-05-11;2025-05-14;10
K004;brânză de vaci 5%;Delaco;0.5;kg;lactate;2025-05-11;2025-05-18;7
K006;unt 82% grasime;Hochland;0.2;kg;lactate;2025-05-11;2025-05-15;12
K007;orez bob lung;Scotti;1;kg;alimente de bază;2025-05-11;2025-05-17;5
K009;napolitane cacao;Joe;0.1;kg;dulciuri;2025-05-11;2025-05-16;20
K011;cola 2L;Coca-Cola;2;l;băuturi;2025-05-12;2025-05-17;15
K012;apă plată 5L;Aqua Carpatica;5;l;apă;2025-05-11;2025-05-15;8
K013;gel de duș fresh;Nivea;0.5;l;îngrijire personală;2025-05-11;2025-05-19;10
K017;vin alb sec;Jidvei;0.75;l;băuturi;2025-05-11;2025-05-17;6
K019;șervețele umede;Bella;0.1;kg;îngrijire personală;2025-05-11;2025-05-14;18
