C001;apă minerală plată;Borsec;2;l;apă;2025-05-10;2025-05-16;15
C002;făină albă 000;Băneasa;1;kg;alimente de bază;2025-05-10;2025-05-16;10
C005;lapte UHT 3.5%;Napolact;1;l;lactate;2025-05-10;2025-05-14;5
C006;iaurt natural 3.5%;Zuzu;0.4;kg;lactate;2025-05-10;2025-05-17;8
C010;banane;Dole;1;kg;fructe;2025-05-11;2025-05-15;12
C012;șampon păr normal;Head & Shoulders;0.4;l;îngrijire personală;2025-05-10;2025-05-12;20
C014;bere blondă doză;Ursus;0.5;l;băuturi;2025-05-10;2025-05-16;10
C016;vin roșu sec;Recaș;0.75;l;băuturi;2025-05-11;2025-05-17;5
C017;detergent rufe automat;Ariel;2;kg;curățenie;2025-05-10;2025-05-20;25
C020;ciocolată amăruie;Heidi;0.1;kg;dulciuri;2025-05-10;2025-05-13;18
